date,open,high,low,close,volume
2019-06-25,235500,237500,234000,235500,52163
2019-06-24,239500,239500,235000,236000,58127
2019-06-21,238500,240500,238000,238500,59095
2019-06-20,239000,241500,237000,240000,72001
2019-06-19,235500,239000,235500,239000,59892
2019-06-18,233500,235000,233000,234500,48951
2019-06-17,234000,235000,231500,233000,78976
2019-06-14,238000,238000,232500,234000,107595
2019-06-13,235000,239500,233000,239500,112494
2019-06-12,238000,239000,235500,236500,74830
2019-06-11,238000,239000,233500,239000,93837
2019-06-10,239000,239500,237000,239000,59149
2019-06-07,237500,239500,234500,238000,54456
2019-06-05,241000,242000,235000,237000,75976
2019-06-04,237000,239500,235500,239000,70951
2019-06-03,229500,239000,227000,239000,108704
2019-05-31,233000,233000,229000,231500,115216
2019-05-30,227500,234500,226500,234500,103443
2019-05-29,238000,238000,227500,229000,148233
2019-05-28,237500,239000,234000,239000,294024
2019-05-27,237000,238500,233500,235000,72870
2019-05-24,237500,239000,235500,238000,60011
2019-05-23,236500,239500,236000,237500,88479
2019-05-22,240500,241000,235500,238500,129967
2019-05-21,239000,242500,239000,241500,74845
2019-05-20,243000,245500,240500,241500,62233
2019-05-17,244500,247500,242000,242000,82174
2019-05-16,249000,251000,244000,244500,98093
2019-05-15,249000,251500,247000,251000,85394
2019-05-14,248500,251500,245500,250500,110668
2019-05-13,245500,249500,245500,248500,73205
2019-05-10,246500,251500,246500,248500,99666
2019-05-09,253000,255500,246500,246500,146331
2019-05-08,252500,256500,251500,254500,71743
2019-05-07,252500,256500,252500,256500,76130
2019-05-03,254500,259500,254500,256500,64215
2019-05-02,254000,259500,252500,258000,69234
2019-04-30,259500,260500,254000,256500,97164
2019-04-29,257500,259000,253000,259000,97373
2019-04-26,261500,261500,255500,256000,104585
2019-04-25,264000,264000,259500,260500,83322
2019-04-24,267000,267500,262000,263500,108019
2019-04-23,267500,268000,265000,267000,47049
2019-04-22,266500,268000,264500,266000,53418
2019-04-19,266500,268000,265500,266500,37949
2019-04-18,270500,270500,266500,267500,108100
2019-04-17,267500,270500,266500,269000,60009
2019-04-16,267500,268000,265500,267500,121652
2019-04-15,267500,271000,267000,269000,130960
2019-04-12,267500,268000,265500,266500,139491
2019-04-11,271500,272500,265500,266500,389805
2019-04-10,274000,276500,271500,272500,118696
2019-04-09,274000,278000,272500,276000,80283
2019-04-08,276500,277000,272000,276000,72501
2019-04-05,273500,276000,271000,275500,76875
2019-04-04,270000,273000,269000,272500,86744
2019-04-03,268500,269500,266000,269500,147213
2019-04-02,269000,272000,268000,272000,67451
2019-04-01,270500,271500,268500,270500,49613
2019-03-29,266500,271000,266500,270500,64718
2019-03-28,265500,268000,263000,265000,74991
2019-03-27,270000,271000,266000,267500,82890
2019-03-26,269000,269000,265000,267500,95820
2019-03-25,275000,276500,268500,271000,53941
2019-03-22,275000,277000,273500,276000,84415
