date,open,high,low,close,volume
2019-06-25,38800,39450,38300,38350,332659
2019-06-24,37900,39000,37900,38750,505096
2019-06-21,37400,38150,37250,37800,630240
2019-06-20,37000,37900,36950,37350,334332
2019-06-19,36500,37200,36200,37150,413162
2019-06-18,35800,36200,35750,36150,216206
2019-06-17,35700,36500,35400,35800,286437
2019-06-14,35300,35600,35000,35600,246981
2019-06-13,35350,35500,34750,35400,340289
2019-06-12,35300,35650,35050,35400,238148
2019-06-11,35050,35200,34800,35150,125209
2019-06-10,35100,35400,34900,35200,140730
2019-06-07,35350,35450,34750,35000,141875
2019-06-05,35850,35900,35100,35250,203639
2019-06-04,35550,35650,35350,35600,157904
2019-06-03,35400,35650,35000,35450,269885
2019-05-31,34950,35350,34500,35350,227585
2019-05-30,34450,35000,34200,34950,234788
2019-05-29,34800,34800,34150,34300,175388
2019-05-28,34850,35000,34300,34700,353281
2019-05-27,34750,34800,34100,34700,147115
2019-05-24,34300,34800,34200,34650,183411
2019-05-23,34550,35000,34300,34750,200914
2019-05-22,34700,34850,34100,34450,166845
2019-05-21,34100,34900,34100,34700,126214
2019-05-20,34250,35000,34250,34450,177283
2019-05-17,34350,35350,34250,34250,203378
2019-05-16,34450,34850,34200,34300,177932
2019-05-15,34250,34700,34050,34450,297015
2019-05-14,33750,34400,33650,34200,248900
2019-05-13,33900,34550,33800,33850,155419
2019-05-10,34400,34800,34000,34250,185163
2019-05-09,35050,35050,33950,33950,266491
2019-05-08,34350,35350,34300,35000,149646
2019-05-07,35200,35400,34500,34800,365621
2019-05-03,35800,36050,35550,35700,110781
2019-05-02,35400,36200,35300,36100,132772
2019-04-30,36450,36550,35550,35650,188566
2019-04-29,35700,36500,35700,36450,131892
2019-04-26,36000,36100,35400,35950,176248
2019-04-25,36050,36250,35800,36000,141937
2019-04-24,36600,36750,35650,36050,201843
2019-04-23,36800,36800,35850,36300,225779
2019-04-22,36450,37100,36450,36800,116852
2019-04-19,36700,37050,36450,36600,150222
2019-04-18,37500,37550,36650,36750,283588
2019-04-17,37400,37800,37200,37500,213618
2019-04-16,37300,37600,37050,37450,196716
2019-04-15,37400,37750,37300,37550,259991
2019-04-12,36700,37500,36200,37300,352186
2019-04-11,36750,36750,36350,36750,187016
2019-04-10,36300,36750,36100,36750,216790
2019-04-09,36300,36600,36150,36400,238300
2019-04-08,36500,36600,36150,36300,246567
2019-04-05,35800,36500,35400,36350,414616
2019-04-04,35300,35950,35300,35700,321091
2019-04-03,34300,35600,34300,35450,401943
2019-04-02,33900,34800,33900,34700,270991
2019-04-01,33150,34000,33050,34000,207100
2019-03-29,32750,33350,32450,33300,257614
2019-03-28,32700,32850,32250,32350,183209
2019-03-27,33050,33200,32250,32800,273070
2019-03-26,33300,33500,33000,33150,142502
2019-03-25,33500,33550,33150,33300,150317
2019-03-22,34050,34350,33700,33900,199268
2019-03-21,34300,34800,34000,34200,208011
2019-03-20,34200,34400,33900,34300,128762
2019-03-19,34650,34750,34300,34450,148859
2019-03-18,34450,34650,34000,34600,169125
2019-03-15,33800,34650,33650,34250,291561
2019-03-14,33950,34100,33500,34000,284907
2019-03-13,33600,33850,33300,33650,157502
2019-03-12,33600,34000,33550,33650,149262
2019-03-11,33100,33700,33100,33450,159951
2019-03-08,33950,33950,33100,33200,203380
2019-03-07,34000,34150,33600,34000,222346
2019-03-06,33850,34200,33600,34050,194166
2019-03-05,34400,34600,33600,33800,338815
2019-03-04,34800,35450,34450,34700,361907
2019-02-28,35750,35750,34650,34650,478985
2019-02-27,35850,36000,35250,35700,335552
2019-02-26,34900,36000,34650,35850,659610
2019-02-25,34750,34850,34200,34850,240725
2019-02-22,33900,34650,33750,34600,278240
2019-02-21,33900,34250,33650,34200,252742
2019-02-20,33600,34100,33350,34100,346966
2019-02-19,34000,34050,33350,33500,169599
2019-02-18,33700,34250,33700,34000,276898
2019-02-15,33850,33850,33000,33300,265252
2019-02-14,33250,33950,33250,33950,267743
2019-02-13,34050,34100,33200,33450,334992
2019-02-12,33500,33800,33200,33650,173409
2019-02-11,33600,33800,33200,33250,155135
2019-02-08,34050,34250,33200,33500,296807
2019-02-07,34150,34550,34000,34400,258340
2019-02-01,33800,34350,33750,34000,317063
