date,open,high,low,close,volume
2019-06-25,478500,481500,473000,474500,38089
2019-06-24,486000,488500,479000,481500,49963
2019-06-21,486000,495000,484000,485000,107048
2019-06-20,466500,485000,463000,484500,68773
2019-06-19,461000,467500,457500,466500,69801
2019-06-18,462500,466000,452000,457000,124510
2019-06-17,470500,471000,464000,468500,36815
2019-06-14,471500,471500,465500,469500,53436
2019-06-13,470500,471500,462500,470500,89590
2019-06-12,469000,472000,462000,470000,43390
2019-06-11,471000,472000,462500,469500,58643
2019-06-10,461500,475000,461000,474000,69962
2019-06-07,464500,465500,453500,459500,37979
2019-06-05,461500,463500,453500,459500,58290
2019-06-04,467500,468000,454500,457000,103734
2019-06-03,472000,475500,457000,465000,117244
2019-05-31,473500,483000,472500,477000,60060
2019-05-30,480000,482500,468500,476500,64101
2019-05-29,479500,487000,474500,480000,74685
2019-05-28,482500,484000,472500,474500,268971
2019-05-27,464000,481500,451500,480000,68926
2019-05-24,491000,495000,472500,475000,80965
2019-05-23,489000,494000,481000,491000,43133
2019-05-22,483000,490000,480500,487000,45831
2019-05-21,481500,495000,481500,485000,51349
2019-05-20,497000,497000,482500,484500,55373
2019-05-17,504000,506000,492000,493500,44950
2019-05-16,495000,505000,494500,500000,65313
2019-05-15,499500,508000,494000,498500,54135
2019-05-14,523000,523000,497000,500000,86710
2019-05-13,498000,531000,498000,511000,103193
2019-05-10,471500,506000,467500,502000,172770
2019-05-09,501000,505000,490000,490000,109131
2019-05-08,497500,507000,495000,502000,59234
2019-05-07,510000,520000,499000,501000,73948
2019-05-03,527000,533000,512000,519000,47618
2019-05-02,526000,526000,518000,522000,51664
2019-04-30,512000,526000,508000,526000,80788
2019-04-29,499500,511000,498500,511000,38932
2019-04-26,511000,513000,498000,504000,66508
2019-04-25,504000,512000,502000,510000,45223
2019-04-24,503000,505000,495500,505000,90022
2019-04-23,491500,499500,489500,499000,123679
2019-04-22,491500,492000,484500,486000,52629
2019-04-19,501000,502000,487500,491000,43300
2019-04-18,499000,502000,492000,498500,72771
2019-04-17,506000,509000,496000,500000,73017
2019-04-16,499500,510000,495000,509000,82689
2019-04-15,504000,507000,494500,495000,92619
2019-04-12,505000,513000,503000,506000,65829
2019-04-11,501000,513000,499500,505000,132088
2019-04-10,496000,505000,493000,497500,55961
2019-04-09,500000,503000,491000,496000,58655
2019-04-08,503000,503000,491000,498500,37200
2019-04-05,503000,505000,498500,503000,48512
2019-04-04,499000,503000,494500,498500,39054
2019-04-03,491500,504000,488000,498500,112052
2019-04-02,488500,494500,488000,491500,71221
2019-04-01,494500,499000,487000,490500,77034
2019-03-29,498000,499500,491000,496000,82323
2019-03-28,474000,500000,467500,498000,130105
2019-03-27,481500,483000,475000,478500,66291
2019-03-26,480500,486000,477500,481000,80586
2019-03-25,475500,485000,473500,478500,91266
2019-03-22,465500,483000,463500,478000,160944
2019-03-21,449500,464500,449500,463000,100842
2019-03-20,445500,457000,443500,454500,74321
2019-03-19,448000,453500,444000,449000,55644
2019-03-18,445500,449500,443500,448000,58091
2019-03-15,434500,444500,434000,444500,65117
2019-03-14,441000,441000,433500,437500,91620
2019-03-13,441000,441000,432000,438500,41269
2019-03-12,440500,443500,436500,441000,45592
2019-03-11,435000,444000,430500,435000,58961
2019-03-08,437500,439500,429000,430500,70249
2019-03-07,452000,454000,435500,440000,79647
2019-03-06,445000,451000,437000,449500,72925
2019-03-05,449500,450500,443000,445000,66258
2019-03-04,456500,459000,442000,448000,146351
2019-02-28,451000,467000,448000,461000,187327
2019-02-27,443500,450000,439500,449500,109221
2019-02-26,435500,443000,433500,443000,77697
2019-02-25,431000,437500,430500,432500,91850
2019-02-22,444000,444000,429500,430500,125350
2019-02-21,442000,445500,437000,444000,74236
2019-02-20,444000,447000,441000,441500,82879
2019-02-19,448000,451000,445500,446500,64168
2019-02-18,450000,450000,443000,447000,84523
2019-02-15,445000,452000,442000,445500,140722
2019-02-14,435500,448000,433000,448000,302509
2019-02-13,431500,436000,424500,433000,256490
2019-02-12,445500,455000,425000,433500,313420
2019-02-11,462000,464000,447000,452500,165882
2019-02-08,460500,464500,460000,463500,71333
2019-02-07,474000,474000,459000,462500,104632
2019-02-01,468500,478000,466000,474000,79604
2019-01-31,470000,474500,464000,468500,124938
2019-01-30,465000,471000,461000,467500,108943
2019-01-29,466500,469000,460500,465500,89814
