date,open,high,low,close,volume
2019-06-25,473500,479000,473000,477500,26612
2019-06-24,478500,478500,468500,469500,24158
2019-06-21,472000,475000,466500,474000,36444
2019-06-20,472000,472000,466500,472000,21319
2019-06-19,465500,473500,464000,468000,26354
2019-06-18,466500,471500,462500,467000,38620
2019-06-17,473000,475000,465500,470000,31505
2019-06-14,467000,474500,464500,473000,36823
2019-06-13,463000,472000,458000,469000,50506
2019-06-12,462000,464500,457000,461500,22201
2019-06-11,459000,463500,457000,462000,30935
2019-06-10,451000,458000,447500,457500,21308
2019-06-07,451500,454000,441000,449000,43080
2019-06-05,448000,451000,444000,447000,27259
2019-06-04,452000,452000,445500,448500,24534
2019-06-03,438500,452000,432000,451500,40362
2019-05-31,434000,437000,429000,437000,26869
2019-05-30,438000,440000,431500,438000,24434
2019-05-29,442000,443000,430500,434000,27934
2019-05-28,442000,446500,433000,435500,46121
2019-05-27,439000,440000,433500,439500,11067
2019-05-24,429500,440000,429500,438500,22250
2019-05-23,437500,438500,428000,435500,30680
2019-05-22,431000,436000,424500,433500,36759
2019-05-21,419000,428500,418500,424500,14681
2019-05-20,425000,428500,421500,424000,14537
2019-05-17,424000,432000,420500,421500,32027
2019-05-16,430000,430000,421500,422000,36803
2019-05-15,432500,437000,429000,435500,29302
2019-05-14,428500,434000,426000,431000,37469
2019-05-13,433000,433000,423500,427500,21532
2019-05-10,431000,436000,427000,433000,42160
2019-05-09,437500,439000,424500,424500,46440
2019-05-08,431500,437000,431000,435000,24882
2019-05-07,440500,440500,431500,437500,63201
2019-05-03,447000,447000,440000,441500,45790
2019-05-02,447000,451500,444500,447000,43324
2019-04-30,452500,454000,444500,452500,44114
2019-04-29,446500,454000,446500,452500,34664
2019-04-26,451500,455500,444500,445000,42256
2019-04-25,449000,453000,447500,450000,27855
2019-04-24,452500,459000,442500,447000,53388
2019-04-23,454500,455500,450500,450500,25441
2019-04-22,456000,458500,452000,453000,17655
2019-04-19,455500,460000,452000,457500,18258
2019-04-18,464500,464500,455500,457000,43129
2019-04-17,470500,470500,460500,464000,44483
2019-04-16,465500,471500,465500,471000,38844
2019-04-15,475500,481500,462500,466000,61577
2019-04-12,482000,482500,475000,477500,39780
2019-04-11,482000,489000,478000,481500,31405
2019-04-10,480000,483500,476500,482500,30481
2019-04-09,480500,484500,477500,480500,36881
2019-04-08,491000,491000,475000,480500,39455
2019-04-05,492000,492500,483000,486500,27943
2019-04-04,488000,492000,485500,489000,44488
2019-04-03,470000,486000,469500,485000,44605
2019-04-02,476500,491500,466000,473500,60878
2019-04-01,464000,474000,463500,469500,29916
2019-03-29,461500,465000,455500,465000,27682
2019-03-28,452500,460000,451000,459000,16878
2019-03-27,457500,458500,453000,456000,19610
2019-03-26,460000,462500,446500,454000,37167
2019-03-25,461000,464500,456500,462500,30650
2019-03-22,456500,461500,451500,461500,24306
2019-03-21,458500,468000,453000,459500,30586
2019-03-20,452000,463000,452000,461500,21495
2019-03-19,457500,461500,454500,455500,16565
2019-03-18,461500,462000,451500,462000,16871
2019-03-15,450500,463000,450500,460500,43656
2019-03-14,456000,461000,452000,456000,34053
2019-03-13,447500,452000,441500,451500,31589
2019-03-12,448000,448000,440500,443500,22672
2019-03-11,440500,442500,435000,442500,18768
2019-03-08,451000,451000,436000,437000,29692
2019-03-07,455000,455000,447500,452500,15099
2019-03-06,448500,455500,445000,452500,21769
2019-03-05,454000,458000,448500,451500,23373
2019-03-04,456500,461500,448000,458500,36562
2019-02-28,466500,466500,454500,456500,40446
2019-02-27,468500,470000,460500,464500,28705
2019-02-26,458500,467000,458000,467000,35745
2019-02-25,457000,461000,455000,460000,36460
2019-02-22,451000,454500,447000,454000,40852
2019-02-21,448500,452500,447500,451000,29197
2019-02-20,438500,452500,436500,446000,71644
2019-02-19,435500,439000,433500,435500,38845
2019-02-18,432000,435500,430000,434500,30677
2019-02-15,432000,435500,430000,433000,22775
2019-02-14,427500,435500,425500,435500,34407
2019-02-13,433500,438500,429000,431000,30010
2019-02-12,431000,441500,425000,435500,60816
2019-02-11,444000,444000,430000,433000,40812
2019-02-08,445000,446000,436000,443000,40667
2019-02-07,443500,448500,430000,448000,45693
2019-02-01,437500,445000,435500,438500,45773
2019-01-31,437000,445000,435000,440500,42331
2019-01-30,436000,436500,425500,436000,33543
2019-01-29,424000,432500,422500,432500,27981
2019-01-28,425000,429000,422000,425000,29269
2019-01-25,421000,428500,418500,427500,29081
2019-01-24,426500,431000,418500,421500,56817
2019-01-23,430500,431500,424000,431500,34089
2019-01-22,430000,434500,424500,429000,25769
2019-01-21,426000,436000,425500,431000,35157
2019-01-18,427000,430500,420500,424000,40318
2019-01-17,429000,434000,422000,425000,49725
2019-01-16,432000,437000,425000,429000,50460
2019-01-15,438000,438500,429500,434000,48089
2019-01-14,443000,445000,432000,434000,43935
2019-01-11,441500,448500,440500,448000,23886
2019-01-10,440000,447500,435500,447500,42187
2019-01-09,446000,448500,437500,442000,39717
2019-01-08,448000,450000,441000,444500,23747
2019-01-07,450000,450000,437000,441000,43992
2019-01-04,441500,462000,441500,453500,65433
2019-01-03,420500,442500,420500,441500,50422
2019-01-02,427500,432500,421500,424000,33226
2018-12-28,441500,442000,431500,432500,31179
2018-12-27,432000,444500,430000,443000,27634
2018-12-26,440500,451500,438000,443500,23505
2018-12-24,437000,449500,430000,448500,28234
2018-12-21,451500,451500,432500,437500,47769
2018-12-20,446000,449500,433000,449500,42162
2018-12-19,449000,454000,448000,451000,26726
2018-12-18,449000,453500,443500,449000,28941
2018-12-17,455000,457500,445500,445500,24095
2018-12-14,454000,460000,442000,448500,32170
2018-12-13,440000,453500,440000,453500,56621
2018-12-12,447500,448000,436000,442500,40700
2018-12-11,443500,449000,441500,442500,28343
2018-12-10,430500,447000,430500,443500,50264
2018-12-07,440000,441500,431000,433500,14269
2018-12-06,442000,442500,433500,437000,24261
2018-12-05,439500,444500,436000,438500,30414
2018-12-04,433000,441000,428000,439500,29511
2018-12-03,428000,439500,427000,432500,28730
2018-11-30,432000,437500,424000,425500,40769
2018-11-29,430000,441500,429000,433500,52362
2018-11-28,430000,433000,421500,424000,46282
2018-11-27,432500,436000,424000,433000,36660
2018-11-26,437500,442500,429000,431500,28600
2018-11-23,441000,443500,432500,439000,18924
2018-11-22,438500,442500,437500,440500,19323
2018-11-21,437500,442000,431500,442000,35088
2018-11-20,437500,439000,432500,438000,40783
2018-11-19,428500,437500,428500,436500,32358
2018-11-16,437000,437000,426500,434000,37057
2018-11-15,426500,435000,424000,434500,28281
2018-11-14,424000,434000,421000,431500,50558
2018-11-13,401000,427500,400500,426000,105853
2018-11-12,403500,412000,396500,409500,44515
2018-11-09,399000,407000,396500,404500,23185
2018-11-08,403000,409000,398500,401500,37104
2018-11-07,397000,403000,395500,396500,26092
