date,open,high,low,close,volume
2019-06-25,43150,43500,42350,43500,571271
2019-06-24,42700,43700,42650,43400,1563245
2019-06-21,42250,42600,42050,42350,830951
2019-06-20,42550,42750,42100,42400,524833
2019-06-19,42950,43150,42250,42350,928187
2019-06-18,42550,43000,42250,43000,888327
2019-06-17,42300,42900,42100,42350,506394
2019-06-14,41600,43050,41250,42150,848964
2019-06-13,42850,43000,41550,41550,1376583
2019-06-12,42800,43200,42600,42800,836853
2019-06-11,42850,43000,42150,42800,1122282
2019-06-10,42950,43000,42250,43000,1357541
2019-06-07,42450,42950,40750,41150,1814285
2019-06-05,41500,41950,41000,41650,1528001
2019-06-04,39650,40800,39600,40550,1364448
2019-06-03,38900,39650,38650,39500,1550671
2019-05-31,40600,40600,38700,39350,2666239
2019-05-30,40300,41350,40200,41200,753525
2019-05-29,40950,41400,40200,40900,1319436
2019-05-28,41400,41650,40100,40900,2354619
2019-05-27,41500,42150,41100,41650,755577
2019-05-24,40800,41350,40450,41100,767364
2019-05-23,40500,41050,39850,40800,1641364
2019-05-22,41250,41750,40950,41150,1079473
2019-05-21,42000,42400,41000,41300,1403186
2019-05-20,42000,43200,41900,42650,1311655
2019-05-17,42550,42700,41200,42000,1134773
2019-05-16,44850,44900,42300,42350,2226891
2019-05-15,41950,43100,41550,41950,1167679
2019-05-14,42350,42850,41900,42350,1476415
2019-05-13,41700,42850,41150,42350,1455206
2019-05-10,43300,43800,41600,42350,1529124
2019-05-09,43850,43900,42800,43100,1834099
2019-05-08,43750,44400,43450,44000,1461288
2019-05-07,42900,44550,42900,44300,2124070
2019-05-03,44900,44900,42900,43300,2123014
2019-05-02,44700,45400,44150,44900,1357851
2019-04-30,45350,46300,44600,45250,2337864
2019-04-29,43150,45300,43100,45250,2828522
2019-04-26,41700,42950,41650,42950,2019131
2019-04-25,44000,44150,42050,42450,3277505
2019-04-24,43300,43900,43200,43900,2302920
2019-04-23,43000,43250,42650,43150,1003963
2019-04-22,41900,42950,41900,42800,827378
2019-04-19,43000,43250,42200,42500,802503
2019-04-18,42350,43550,42250,42550,2138419
2019-04-17,42050,42300,41600,42300,1655846
2019-04-16,40650,42000,40400,41800,2199769
2019-04-15,40300,40950,40150,40650,960377
2019-04-12,40500,40850,39850,40600,1470765
2019-04-11,40150,40750,40000,40550,1766103
2019-04-10,39050,40100,39050,40100,2035437
2019-04-09,39050,39300,38650,38950,1140676
2019-04-08,37600,39000,37550,39000,1553562
2019-04-05,37800,37850,37500,37700,960036
2019-04-04,36500,37800,36400,37400,1782979
2019-04-03,34850,36500,34850,36400,1642882
2019-04-02,35350,35600,34850,35100,980384
2019-04-01,35500,35850,35100,35450,552066
2019-03-29,34750,35750,34750,35350,1421258
2019-03-28,34700,34850,34250,34450,852647
2019-03-27,34600,34800,34100,34600,767613
2019-03-26,34850,34900,34000,34100,659015
2019-03-25,34400,34400,33750,33800,398608
2019-03-22,34200,34750,33900,34500,888498
2019-03-21,34750,35200,33800,34200,761526
